Date,Time gap,Count,Average speed
2021-12-01,1,3,20
2021-12-01,2,3,18
2021-12-01,3,0,-1
2021-12-01,4,2,24
2021-12-01,5,1,19
2021-12-01,6,1,21
2021-12-01,7,1,9
2021-12-01,8,2,17
2021-12-01,9,1,18
2021-12-01,10,3,19
2021-12-01,11,5,24
2021-12-01,12,1,10
2021-12-01,13,1,17
2021-12-01,14,2,23
2021-12-01,15,5,21
2021-12-01,16,6,18
2021-12-01,17,2,18
2021-12-01,18,6,22
2021-12-01,19,11,21
2021-12-01,20,8,21
2021-12-01,21,4,22
2021-12-01,22,8,20
2021-12-01,23,12,23
2021-12-01,24,17,18
2021-12-01,25,20,22
2021-12-01,26,17,18
2021-12-01,27,24,19
2021-12-01,28,50,20
2021-12-01,29,45,18
2021-12-01,30,73,18
2021-12-01,31,99,17
2021-12-01,32,85,19
2021-12-01,33,41,19
2021-12-01,34,54,19
2021-12-01,35,40,19
2021-12-01,36,34,18
2021-12-01,37,28,18
2021-12-01,38,25,17
2021-12-01,39,28,19
2021-12-01,40,23,17
2021-12-01,41,18,22
2021-12-01,42,20,17
2021-12-01,43,24,19
2021-12-01,44,35,20
2021-12-01,45,35,17
2021-12-01,46,46,17
2021-12-01,47,52,18
2021-12-01,48,43,17
2021-12-01,49,43,19
2021-12-01,50,50,19
2021-12-01,51,46,18
2021-12-01,52,45,18
2021-12-01,53,36,19
2021-12-01,54,39,18
2021-12-01,55,31,19
2021-12-01,56,35,19
2021-12-01,57,35,18
2021-12-01,58,37,17
2021-12-01,59,53,18
2021-12-01,60,44,19
2021-12-01,61,50,19
2021-12-01,62,53,19
2021-12-01,63,54,19
2021-12-01,64,56,18
2021-12-01,65,71,17
2021-12-01,66,69,18
2021-12-01,67,70,17
2021-12-01,68,70,18
2021-12-01,69,63,18
2021-12-01,70,51,19
2021-12-01,71,45,18
2021-12-01,72,40,19
2021-12-01,73,35,20
2021-12-01,74,32,17
2021-12-01,75,32,19
2021-12-01,76,20,18
2021-12-01,77,17,18
2021-12-01,78,38,18
2021-12-01,79,29,19
2021-12-01,80,20,19
2021-12-01,81,17,19
2021-12-01,82,16,17
2021-12-01,83,11,18
2021-12-01,84,17,16
2021-12-01,85,13,18
2021-12-01,86,21,20
2021-12-01,87,5,18
2021-12-01,88,23,17
2021-12-01,89,11,18
2021-12-01,90,23,18
2021-12-01,91,9,17
2021-12-01,92,5,16
2021-12-01,93,6,17
2021-12-01,94,2,19
2021-12-01,95,4,19
2021-12-01,96,3,22
2021-12-02,1,3,18
2021-12-02,2,2,19
2021-12-02,3,3,22
2021-12-02,4,3,18
2021-12-02,5,1,22
2021-12-02,6,1,11
2021-12-02,7,2,24
2021-12-02,8,1,11
2021-12-02,9,0,-1
2021-12-02,10,3,20
2021-12-02,11,2,17
2021-12-02,12,0,-1
2021-12-02,13,5,14
2021-12-02,14,1,11
2021-12-02,15,10,21
2021-12-02,16,1,15
2021-12-02,17,3,24
2021-12-02,18,4,20
2021-12-02,19,5,19
2021-12-02,20,10,19
2021-12-02,21,3,18
2021-12-02,22,15,21
2021-12-02,23,10,20
2021-12-02,24,17,21
2021-12-02,25,20,19
2021-12-02,26,15,22
2021-12-02,27,34,19
2021-12-02,28,36,20
2021-12-02,29,51,19
2021-12-02,30,66,18
2021-12-02,31,94,17
2021-12-02,32,78,18
2021-12-02,33,62,19
2021-12-02,34,63,19
2021-12-02,35,30,19
2021-12-02,36,24,18
2021-12-02,37,26,18
2021-12-02,38,28,19
2021-12-02,39,31,18
2021-12-02,40,15,19
2021-12-02,41,21,18
2021-12-02,42,15,17
2021-12-02,43,16,18
2021-12-02,44,18,19
2021-12-02,45,19,19
2021-12-02,46,34,18
2021-12-02,47,25,18
2021-12-02,48,30,18
2021-12-02,49,34,20
2021-12-02,50,28,19
2021-12-02,51,25,19
2021-12-02,52,24,17
2021-12-02,53,33,18
2021-12-02,54,35,19
2021-12-02,55,23,18
2021-12-02,56,22,18
2021-12-02,57,29,16
2021-12-02,58,25,17
2021-12-02,59,38,17
2021-12-02,60,47,18
2021-12-02,61,36,18
2021-12-02,62,47,18
2021-12-02,63,43,18
2021-12-02,64,66,19
2021-12-02,65,62,17
2021-12-02,66,67,17
2021-12-02,67,79,17
2021-12-02,68,76,17
2021-12-02,69,73,18
2021-12-02,70,50,18
2021-12-02,71,46,19
2021-12-02,72,38,18
2021-12-02,73,51,17
2021-12-02,74,33,19
2021-12-02,75,34,19
2021-12-02,76,28,18
2021-12-02,77,27,17
2021-12-02,78,26,17
2021-12-02,79,23,17
2021-12-02,80,24,18
2021-12-02,81,13,16
2021-12-02,82,26,16
2021-12-02,83,16,18
2021-12-02,84,21,19
2021-12-02,85,26,18
2021-12-02,86,21,19
2021-12-02,87,14,20
2021-12-02,88,18,19
2021-12-02,89,24,18
2021-12-02,90,16,18
2021-12-02,91,21,18
2021-12-02,92,13,20
2021-12-02,93,2,17
2021-12-02,94,7,17
2021-12-02,95,7,16
2021-12-02,96,5,15
2021-12-03,1,5,17
2021-12-03,2,0,-1
2021-12-03,3,2,11
2021-12-03,4,2,15
2021-12-03,5,1,15
2021-12-03,6,1,21
2021-12-03,7,0,-1
2021-12-03,8,3,17
2021-12-03,9,0,-1
2021-12-03,10,1,20
2021-12-03,11,3,21
2021-12-03,12,3,19
2021-12-03,13,3,22
2021-12-03,14,3,21
2021-12-03,15,3,19
2021-12-03,16,9,20
2021-12-03,17,4,18
2021-12-03,18,2,20
2021-12-03,19,6,21
2021-12-03,20,11,22
2021-12-03,21,5,15
2021-12-03,22,10,22
2021-12-03,23,5,16
2021-12-03,24,22,19
